agent,source_file,ticker,company,event_date,session,entry_day,exit_day,direction_score,reversal_risk,direction_call,confidence,side,entry_price,exit_price,trade_return_pct,weight_in_agent_portfolio_pct,in_aggregate_portfolio
US1,US1-2026-07-30.json,FSLR,First Solar,2026-07-30,AMC,2026-07-30,2026-07-31,44.0,36,Lean Up,Medium,long,204.59,211.63,3.441,33.33,True
US1,US1-2026-07-30-1702.json,XOM,Exxon Mobil,2026-07-31,BMO,2026-07-30,2026-07-31,45.0,34,Lean Up,Medium,long,156.32,154.65,-1.068,33.33,True
US2,US2-2026-07-30.json,ABBV,AbbVie,2026-07-31,BMO,2026-07-30,2026-07-31,38.0,32,Lean Up,Medium,long,258.9,252.28,-2.557,40.0,True
US2,US2-2026-07-31.json,DD,DuPont,2026-08-03,BMO,2026-07-31,2026-08-03,36.0,39,Lean Up,Medium,long,137.6975,138.82,0.815,40.0,True
US2,US2-2026-07-31.json,TSN,Tyson Foods,2026-08-03,BMO,2026-07-31,2026-08-03,39.0,37,Lean Up,Medium,long,59.7525,59.23,-0.874,40.0,True
US1,US1-2026-08-03-1909.json,BWXT,BWX Technologies,2026-08-03,AMC,2026-08-03,2026-08-04,45.0,38,Lean Up,Medium,long,173.885,173.5,-0.221,40.0,True
US1,US1-2026-08-04-1907.json,BKNG,Booking Holdings,2026-08-04,AMC,2026-08-04,2026-08-05,38.0,39,Lean Up,Medium,long,192.685,207.735,7.811,20.0,True
US1,US1-2026-08-04-1907.json,CVS,CVS Health,2026-08-05,BMO,2026-08-04,2026-08-05,40.0,35,Lean Up,Medium,long,104.415,99.12,-5.071,20.0,True
US1,US1-2026-08-04.json,KHC,Kraft Heinz,2026-08-05,BMO,2026-08-04,2026-08-05,-40.0,36,Lean Down,Medium,short,26.41,25.525,3.351,20.0,True
US1,US1-2026-08-04-1907.json,LLY,Eli Lilly,2026-08-05,BMO,2026-08-04,2026-08-05,55.0,37,Lean Up,Medium,long,1114.9075,1159.1,3.964,20.0,True
US1,US1-2026-08-04-1907.json,UBER,Uber Technologies,2026-08-05,BMO,2026-08-04,2026-08-05,46.0,37,Lean Up,Medium,long,71.6325,67.31,-6.034,20.0,True
US1,US1-2026-08-05.json,DUOL,Duolingo,2026-08-05,AMC,2026-08-05,2026-08-06,38.0,39,Lean Up,Medium,long,134.4725,130.11,-3.244,33.33,True
US1,US1-2026-08-05.json,HWM,Howmet Aerospace,2026-08-06,BMO,2026-08-05,2026-08-06,45.0,35,Lean Up,High,long,291.66,294.16,0.857,33.33,True
US1,US1-2026-08-05.json,PH,Parker-Hannifin,2026-08-06,BMO,2026-08-05,2026-08-06,48.0,29,Lean Up,High,long,1002.2425,1061.295,5.892,33.33,True
US2,US2-2026-08-05.json,DUOL,Duolingo,2026-08-05,AMC,2026-08-05,2026-08-06,38.0,39,Lean Up,Medium,long,134.4725,130.11,-3.244,33.33,False
US2,US2-2026-08-05.json,HWM,Howmet Aerospace,2026-08-06,BMO,2026-08-05,2026-08-06,45.0,35,Lean Up,High,long,291.66,294.16,0.857,33.33,False
US2,US2-2026-08-05.json,PH,Parker-Hannifin,2026-08-06,BMO,2026-08-05,2026-08-06,48.0,29,Lean Up,High,long,1002.2425,1061.295,5.892,33.33,False
US1,US1-2026-08-06-1907.json,CART,Instacart,2026-08-06,AMC,2026-08-06,2026-08-07,44.0,35,Lean Up,Medium,long,44.8,49.5,10.491,20.0,True
US1,US1-2026-08-06.json,FLR,Fluor,2026-08-07,BMO,2026-08-06,2026-08-07,40.0,35,Lean Up,Medium,long,49.4875,57.115,15.413,20.0,True
US1,US1-2026-08-06.json,ROAD,Construction Partners,2026-08-07,BMO,2026-08-06,2026-08-07,46.0,34,Lean Up,High,long,100.7775,118.61,17.695,20.0,True
US1,US1-2026-08-06.json,TWLO,Twilio,2026-08-06,AMC,2026-08-06,2026-08-07,42.0,38,Lean Up,Medium,long,191.655,235.25,22.747,20.0,True
US1,US1-2026-08-06-1907.json,VST,Vistra,2026-08-07,BMO,2026-08-06,2026-08-07,38.0,35,Lean Up,Medium,long,141.4425,141.13,-0.221,20.0,True
US1,US1-2026-08-07.json,B,Barrick Mining Corporation,2026-08-10,BMO,2026-08-07,2026-08-10,50.0,38,Lean Up,Medium,long,43.6325,40.6295,-6.882,33.33,True
US1,US1-2026-08-07.json,CAMT,Camtek Ltd.,2026-08-10,BMO,2026-08-07,2026-08-10,63.0,36,Strong Up,Medium,long,156.36,154.5,-1.19,33.33,True
US1,US1-2026-08-07-1907.json,INSW,"International Seaways, Inc.",2026-08-10,BMO,2026-08-07,2026-08-10,48.0,38,Lean Up,Medium,long,93.2,91.43,-1.899,33.33,True
US2,US2-2026-08-07-1905.json,RDNT,"RadNet, Inc.",2026-08-10,BMO,2026-08-07,2026-08-10,40.0,35,Lean Up,Medium,long,70.03,78.21,11.681,40.0,True
US2,US2-2026-08-07-1905.json,SDRL,Seadrill Limited,2026-08-10,BMO,2026-08-07,2026-08-10,41.0,33,Lean Up,Medium,long,43.44,46.74,7.597,40.0,True
US1,US1-2026-08-10-1907.json,CAH,Cardinal Health,2026-08-11,BMO,2026-08-10,2026-08-11,50.0,31,Lean Up,High,long,237.412,239.415,0.844,25.0,True
US1,US1-2026-08-10-1907.json,SE,Sea Limited,2026-08-11,BMO,2026-08-10,2026-08-11,46.0,36,Lean Up,Medium,long,115.0075,130.8,13.732,25.0,True
US1,US1-2026-08-10-1907.json,SPG,Simon Property Group,2026-08-10,AMC,2026-08-10,2026-08-11,37.0,29,Lean Up,High,long,219.38,220.27,0.406,25.0,False
US1,US1-2026-08-10.json,TME,Tencent Music,2026-08-11,BMO,2026-08-10,2026-08-11,40.0,34,Lean Up,Medium,long,9.89,8.78,-11.223,25.0,True
US2,US2-2026-08-10.json,ACM,AECOM,2026-08-10,AMC,2026-08-10,2026-08-11,45.0,30,Lean Up,High,long,74.4,68.25,-8.266,25.0,True
US2,US2-2026-08-10.json,CAH,Cardinal Health,2026-08-11,BMO,2026-08-10,2026-08-11,48.0,35,Lean Up,High,long,237.412,239.415,0.844,25.0,False
US2,US2-2026-08-10.json,MIDD,Middleby,2026-08-11,BMO,2026-08-10,2026-08-11,43.0,33,Lean Up,Medium,long,130.3575,121.5475,-6.758,25.0,True
US2,US2-2026-08-10.json,SPG,Simon Property Group,2026-08-10,AMC,2026-08-10,2026-08-11,40.0,33,Lean Up,Medium,long,219.38,220.27,0.406,25.0,True
US1,US1-2026-08-11-1907.json,FNV,Franco-Nevada,2026-08-11,AMC,2026-08-11,2026-08-12,39.0,29,Lean Up,Medium,long,240.01,241.28,0.529,33.33,False
US1,US1-2026-08-11-1907.json,LITE,Lumentum,2026-08-11,AMC,2026-08-11,2026-08-12,62.0,36,Strong Up,High,long,815.715,900.0,10.333,33.33,True
US1,US1-2026-08-11-1907.json,PFGC,Performance Food Group,2026-08-12,BMO,2026-08-11,2026-08-12,36.0,32,Lean Up,Medium,long,113.72,110.67,-2.682,33.33,True
US2,US2-2026-08-11.json,ATRO,Astronics Corporation,2026-08-11,AMC,2026-08-11,2026-08-12,44.0,33,Lean Up,Medium,long,75.315,83.055,10.277,33.33,True
US2,US2-2026-08-11.json,FNV,Franco-Nevada Corporation,2026-08-11,AMC,2026-08-11,2026-08-12,40.0,30,Lean Up,Medium,long,240.01,241.28,0.529,33.33,True
US2,US2-2026-08-11.json,HRB,"H&R Block, Inc.",2026-08-11,AMC,2026-08-11,2026-08-12,37.0,32,Lean Up,Medium,long,46.125,54.5,18.157,33.33,True
US1,US1-2026-08-12.json,COHR,Coherent Corp.,2026-08-12,AMC,2026-08-12,2026-08-13,55.0,39,Lean Up,Medium,long,358.3475,344.88,-3.758,20.0,True
US1,US1-2026-08-12-1912.json,ENS,EnerSys,2026-08-12,AMC,2026-08-12,2026-08-13,39.0,33,Lean Up,Medium,long,188.1075,211.0,12.17,20.0,True
US1,US1-2026-08-12-1912.json,PAAS,Pan American Silver,2026-08-12,AMC,2026-08-12,2026-08-13,43.0,35,Lean Up,Medium,long,52.485,48.0,-8.545,20.0,True
US1,US1-2026-08-12-1912.json,TPR,Tapestry,2026-08-13,BMO,2026-08-12,2026-08-13,45.0,38,Lean Up,Medium,long,153.43,130.595,-14.883,20.0,True
US1,US1-2026-08-12.json,WWW,"Wolverine World Wide, Inc.",2026-08-13,BMO,2026-08-12,2026-08-13,39.0,38,Lean Up,Medium,long,18.01,19.9,10.494,20.0,False
US2,US2-2026-08-12-1710.json,AIT,"Applied Industrial Technologies, Inc.",2026-08-13,BMO,2026-08-12,2026-08-13,39.0,35,Lean Up,High,long,353.4837,355.155,0.473,33.33,True
US2,US2-2026-08-12-1710.json,WWW,"Wolverine World Wide, Inc.",2026-08-13,BMO,2026-08-12,2026-08-13,40.0,39,Lean Up,Medium,long,18.01,19.9,10.494,33.33,True
US2,US2-2026-08-12-1710.json,YETI,"YETI Holdings, Inc.",2026-08-13,BMO,2026-08-12,2026-08-13,36.0,36,Lean Up,Medium,long,49.605,44.895,-9.495,33.33,True
US1,US1-2026-08-13-1907.json,BAP,Credicorp Ltd.,2026-08-13,AMC,2026-08-13,2026-08-14,40.0,30,Lean Up,Medium,long,377.45,384.3,1.815,40.0,True
US2,US2-2026-08-13.json,DLO,DLocal Limited,2026-08-13,AMC,2026-08-13,2026-08-14,42.0,36,Lean Up,Medium,long,14.585,15.29,4.834,40.0,True
US2,US2-2026-08-13.json,HTFL,"Heartflow, Inc.",2026-08-13,AMC,2026-08-13,2026-08-14,44.0,34,Lean Up,Medium,long,29.4425,39.06,32.665,40.0,True
US1,US1-2026-08-17-1907.json,AS,"Amer Sports, Inc.",2026-08-18,BMO,2026-08-17,2026-08-18,43.0,38,Lean Up,Medium,long,32.4625,33.34,2.703,40.0,True
US1,US1-2026-08-18.json,ADI,Analog Devices,2026-08-19,BMO,2026-08-18,2026-08-19,42.0,38,Lean Up,Medium,long,371.6325,376.795,1.389,33.33,True
US1,US1-2026-08-18.json,MRCY,Mercury Systems,2026-08-18,AMC,2026-08-18,2026-08-19,52.0,35,Lean Up,Medium,long,107.905,104.67,-2.998,33.33,True
US1,US1-2026-08-18.json,TJX,TJX Companies,2026-08-19,BMO,2026-08-18,2026-08-19,49.0,33,Lean Up,Medium,long,151.88,145.9,-3.937,33.33,True
US2,US2-2026-08-18.json,EL,The Estee Lauder Companies,2026-08-19,BMO,2026-08-18,2026-08-19,41.0,39,Lean Up,Medium,long,84.2625,98.53,16.932,40.0,True
US2,US2-2026-08-18.json,JKHY,Jack Henry & Associates,2026-08-18,AMC,2026-08-18,2026-08-19,37.0,35,Lean Up,Medium,long,155.0775,163.8,5.625,40.0,True
US1,US1-2026-08-19-1307.json,AAP,Advance Auto Parts,2026-08-20,BMO,2026-08-19,2026-08-20,43.0,38,Lean Up,Medium,long,56.4975,40.8605,-27.677,33.33,True
US1,US1-2026-08-19.json,NDSN,Nordson Corporation,2026-08-19,AMC,2026-08-19,2026-08-20,38.0,36,Lean Up,Medium,long,306.935,316.0,2.953,33.33,True
US1,US1-2026-08-19-1307.json,NTES,NetEase,2026-08-20,BMO,2026-08-19,2026-08-20,41.0,34,Lean Up,Medium,long,125.92,120.655,-4.181,33.33,True
US2,US2-2026-08-19.json,AAP,"Advance Auto Parts, Inc.",2026-08-20,BMO,2026-08-19,2026-08-20,40.0,39,Lean Up,Medium,long,56.4975,40.8605,-27.677,40.0,False
US2,US2-2026-08-19.json,NTES,"NetEase, Inc.",2026-08-20,BMO,2026-08-19,2026-08-20,39.0,36,Lean Up,Medium,long,125.92,120.655,-4.181,40.0,False
US1,US1-2026-08-20.json,FLO,"Flowers Foods, Inc.",2026-08-20,AMC,2026-08-20,2026-08-21,-46.0,35,Lean Down,Medium,short,7.3725,6.9,6.409,40.0,True
US1,US1-2026-08-20-1907.json,OSIS,"OSI Systems, Inc.",2026-08-20,AMC,2026-08-20,2026-08-21,42.0,38,Lean Up,Medium,long,215.545,196.0,-9.068,40.0,True
US2,US2-2026-08-20.json,BKE,"The Buckle, Inc.",2026-08-21,BMO,2026-08-20,2026-08-21,35.7,36,Lean Up,Medium,long,42.4926,44.05,3.665,40.0,True
US2,US2-2026-08-20.json,OSIS,"OSI Systems, Inc.",2026-08-20,AMC,2026-08-20,2026-08-21,40.3,35,Lean Up,Medium,long,215.545,196.0,-9.068,40.0,False
US1,US1-2026-08-24.json,BMO,Bank of Montreal,2026-08-25,BMO,2026-08-24,2026-08-25,37.0,37,Lean Up,Medium,long,172.345,174.21,1.082,40.0,True
US2,US2-2026-08-24-1705.json,BMO,Bank of Montreal,2026-08-25,BMO,2026-08-24,2026-08-25,36.0,35,Lean Up,High,long,172.345,174.21,1.082,40.0,False
US1,US1-2026-08-25-1907.json,ANF,Abercrombie & Fitch,2026-08-26,BMO,2026-08-25,2026-08-26,37.7,39,Lean Up,Medium,long,109.015,143.59,31.716,20.0,True
US1,US1-2026-08-25-1907.json,DCI,Donaldson,2026-08-26,BMO,2026-08-25,2026-08-26,42.7,28,Lean Up,High,long,92.6651,95.23,2.768,20.0,True
US1,US1-2026-08-25-1907.json,DY,Dycom Industries,2026-08-26,BMO,2026-08-25,2026-08-26,64.7,33,Strong Up,High,long,356.215,313.34,-12.036,20.0,True
US1,US1-2026-08-25.json,NCNO,nCino,2026-08-25,AMC,2026-08-25,2026-08-26,37.0,39,Lean Up,Medium,long,20.3525,19.231,-5.51,20.0,True
US1,US1-2026-08-25.json,SMTC,Semtech,2026-08-25,AMC,2026-08-25,2026-08-26,48.3,36,Lean Up,Medium,long,125.5525,130.47,3.917,20.0,True
US2,US2-2026-08-25-1710.json,SJM,The J.M. Smucker Co.,2026-08-26,BMO,2026-08-25,2026-08-26,39.0,35,Lean Up,Medium,long,124.415,130.55,4.931,40.0,True
US1,US1-2026-08-26-1907.json,BURL,Burlington Stores,2026-08-27,BMO,2026-08-26,2026-08-27,52.0,36,Lean Up,Medium,long,314.4375,294.73,-6.268,20.0,True
US1,US1-2026-08-26-1907.json,DLTR,Dollar Tree,2026-08-27,BMO,2026-08-26,2026-08-27,47.0,39,Lean Up,Medium,long,132.3375,127.64,-3.55,20.0,True
US1,US1-2026-08-26-1907.json,HPQ,HP Inc.,2026-08-26,AMC,2026-08-26,2026-08-27,-36.0,38,Lean Down,Medium,short,29.725,27.86,6.274,20.0,True
US1,US1-2026-08-26-1907.json,HQY,HealthEquity,2026-08-27,BMO,2026-08-26,2026-08-27,44.0,34,Lean Up,Medium,long,104.4325,92.2,-11.713,20.0,True
US1,US1-2026-08-26-1907.json,VEEV,Veeva Systems,2026-08-26,AMC,2026-08-26,2026-08-27,36.0,38,Lean Up,Medium,long,246.8675,275.355,11.54,20.0,False
US2,US2-2026-08-26-1312.json,A,Agilent Technologies,2026-08-26,AMC,2026-08-26,2026-08-27,42.0,34,Lean Up,Medium,long,153.045,159.35,4.12,25.0,True
US2,US2-2026-08-26-1312.json,BURL,Burlington Stores,2026-08-27,BMO,2026-08-26,2026-08-27,44.0,36,Lean Up,Medium,long,314.4375,294.73,-6.268,25.0,False
US2,US2-2026-08-26-1312.json,DG,Dollar General,2026-08-27,BMO,2026-08-26,2026-08-27,39.0,38,Lean Up,Medium,long,121.915,128.11,5.081,25.0,True
US2,US2-2026-08-26-1312.json,VEEV,Veeva Systems,2026-08-26,AMC,2026-08-26,2026-08-27,46.0,38,Lean Up,Medium,long,246.8675,275.355,11.54,25.0,True
US1,US1-2026-08-27.json,PD,PagerDuty,2026-08-27,AMC,2026-08-27,2026-08-28,-36.0,38,Lean Down,Medium,short,12.685,13.09,-3.193,33.33,True
US1,US1-2026-08-27.json,RBRK,Rubrik,2026-08-27,AMC,2026-08-27,2026-08-28,48.0,38,Lean Up,Medium,long,106.39,98.95,-6.993,33.33,True
US1,US1-2026-08-27-1907.json,ULTA,Ulta Beauty,2026-08-27,AMC,2026-08-27,2026-08-28,44.0,34,Lean Up,Medium,long,530.715,542.0,2.126,33.33,True
US2,US2-2026-08-27.json,ADSK,Autodesk,2026-08-27,AMC,2026-08-27,2026-08-28,40.0,36,Lean Up,Medium,long,269.7725,261.16,-3.193,25.0,True
US2,US2-2026-08-27.json,BWLP,BW LPG,2026-08-28,BMO,2026-08-27,2026-08-28,39.0,39,Lean Up,Medium,long,24.3175,23.98,-1.388,25.0,True
US2,US2-2026-08-27.json,HAFN,Hafnia,2026-08-28,BMO,2026-08-27,2026-08-28,36.0,36,Lean Up,Medium,long,8.277,8.455,2.151,25.0,True
US2,US2-2026-08-27.json,MNSO,MINISO Group,2026-08-28,BMO,2026-08-27,2026-08-28,43.0,35,Lean Up,Medium,long,10.7675,10.225,-5.038,25.0,True
US1,US1-2026-08-31.json,MMED,MiniMed Group,2026-09-01,BMO,2026-08-31,2026-09-01,53.0,36,Lean Up,Medium,long,19.9675,22.31,11.732,40.0,True
US2,US2-2026-08-31.json,MDT,Medtronic plc,2026-09-01,BMO,2026-08-31,2026-09-01,42.0,38,Lean Up,Medium,long,90.9125,92.39,1.625,40.0,True
US1,US1-2026-09-01.json,CRDO,Credo Technology Group Holding Ltd,2026-09-01,AMC,2026-09-01,2026-09-02,46.0,38,Lean Up,Medium,long,211.8,188.635,-10.937,33.33,True
US1,US1-2026-09-01.json,DELL,Dell Technologies Inc.,2026-09-01,AMC,2026-09-01,2026-09-02,36.0,39,Lean Up,Medium,long,430.1775,462.05,7.409,33.33,True
US1,US1-2026-09-01.json,OLLI,"Ollie's Bargain Outlet Holdings, Inc.",2026-09-02,BMO,2026-09-01,2026-09-02,-38.0,38,Lean Down,Medium,short,72.515,75.22,-3.73,33.33,False
US2,US2-2026-09-01.json,OLLI,"Ollie's Bargain Outlet Holdings, Inc.",2026-09-02,BMO,2026-09-01,2026-09-02,36.0,36,Lean Up,Medium,long,72.515,75.22,3.73,40.0,False
US1,US1-2026-09-02-1907.json,AGX,"Argan, Inc.",2026-09-02,AMC,2026-09-02,2026-09-03,48.7,31,Lean Up,Medium,long,410.69,427.27,4.037,20.0,True
US1,US1-2026-09-02.json,CIEN,Ciena Corporation,2026-09-03,BMO,2026-09-02,2026-09-03,61.0,35,Strong Up,Medium,long,350.285,322.379,-7.967,20.0,True
US1,US1-2026-09-02.json,CPB,The Campbell's Company,2026-09-03,BMO,2026-09-02,2026-09-03,-39.0,35,Lean Down,Medium,short,24.0775,21.665,10.02,20.0,True
US1,US1-2026-09-02-1907.json,FIVE,"Five Below, Inc.",2026-09-02,AMC,2026-09-02,2026-09-03,43.0,35,Lean Up,Medium,long,245.1275,257.2,4.925,20.0,True
US1,US1-2026-09-02-1907.json,HPE,Hewlett Packard Enterprise,2026-09-02,AMC,2026-09-02,2026-09-03,39.3,39,Lean Up,Medium,long,50.725,47.6,-6.161,20.0,False
US2,US2-2026-09-02.json,BRC,Brady Corporation,2026-09-03,BMO,2026-09-02,2026-09-03,45.0,32,Lean Up,High,long,90.135,90.6,0.516,33.33,True
US2,US2-2026-09-02.json,HPE,Hewlett Packard Enterprise,2026-09-02,AMC,2026-09-02,2026-09-03,40.0,38,Lean Up,Medium,long,50.725,47.6,-6.161,33.33,True
US2,US2-2026-09-02.json,TTC,The Toro Company,2026-09-03,BMO,2026-09-02,2026-09-03,38.0,35,Lean Up,Medium,long,99.5525,93.37,-6.21,33.33,True
US1,US1-2026-09-03-1907.json,GWRE,Guidewire Software,2026-09-03,AMC,2026-09-03,2026-09-04,46.3,36,Lean Up,Medium,long,201.8375,167.55,-16.988,40.0,True
US1,US1-2026-09-03-1907.json,SWBI,Smith & Wesson Brands,2026-09-03,AMC,2026-09-03,2026-09-04,46.7,36,Lean Up,Medium,long,12.205,14.01,14.789,40.0,True
US2,US2-2026-09-03.json,DOCU,Docusign,2026-09-03,AMC,2026-09-03,2026-09-04,36.0,36,Lean Up,Medium,long,66.1775,68.998,4.262,40.0,True
US1,US1-2026-09-08-1907.json,ASO,Academy Sports + Outdoors,2026-09-09,BMO,2026-09-08,2026-09-09,46.7,36,Lean Up,Medium,long,44.88,49.52,10.339,40.0,False
US1,US1-2026-09-08-1907.json,KFY,Korn Ferry,2026-09-09,BMO,2026-09-08,2026-09-09,36.7,33,Lean Up,Medium,long,81.9,81.045,-1.044,40.0,False
US2,US2-2026-09-08.json,ASO,Academy Sports + Outdoors,2026-09-09,BMO,2026-09-08,2026-09-09,47.0,36,Lean Up,Medium,long,44.88,49.52,10.339,20.0,True
US2,US2-2026-09-08.json,CAL,Caleres,2026-09-09,BMO,2026-09-08,2026-09-09,40.0,39,Lean Up,Medium,long,12.0825,12.51,3.538,20.0,True
US2,US2-2026-09-07.json,KFY,Korn Ferry,2026-09-09,BMO,2026-09-08,2026-09-09,38.0,33,Lean Up,Medium,long,81.9,81.045,-1.044,20.0,True
US2,US2-2026-09-07.json,SIG,Signet Jewelers,2026-09-09,BMO,2026-09-08,2026-09-09,45.0,38,Lean Up,Medium,long,81.14,99.57,22.714,20.0,True
